Top Level Genre,Sub Genre,URL,Title,Author
Horror,Gothic Western Horror,https://www.skool.com/story-hacker/the-dark-side-of-manifest-destiny-a-guide-to-gothic-western-horror,Gothic Western Horror Genre Guide,Dom Ioanna
Horror,Horror,https://www.skool.com/story-hacker/horror-genre-guides,Horror Genre Guides,Mitch White
Horror,Lovecraftian Horror,https://www.skool.com/story-hacker/lovecraftian-horror-genre-guides,Lovecraftian Horror Genre Guides,Mitch White
Horror,Southern Gothic,https://www.skool.com/story-hacker/southern-gothic-horror-genre-guide,Southern Gothic Horror Genre Guide,Dom Ioanna
Memoir,Memoir and Autofiction,https://www.skool.com/story-hacker/memoir-and-autofiction-genre-guides,Memoir and Autofiction Genre Guides,Mitch White
Mystery,Academic Mystery,https://www.skool.com/story-hacker/academic-mystery-genre-guides,Academic Mystery Genre Guides,Mitch White
Mystery,Amateur Sleuth,https://www.skool.com/story-hacker/amateur-sleuth-genre-guide?p=972428fe,Amateur Sleuth Genre Guide,Dom Ioanna
Mystery,Climate Fiction Mystery,https://www.skool.com/story-hacker/climate-fiction-mystery-genre-guide,Climate Fiction Mystery Genre Guide,Dom Ioanna
Mystery,Cozy Fantasy Mystery,https://www.skool.com/story-hacker/cozy-fantasy-mystery-genre-guides,Cozy Fantasy Mystery Genre Guides,Mitch White
Mystery,Cozy Historical Mystery,https://www.skool.com/story-hacker/cozy-historical-mystery-romance-genre-guide,Cozy Historical Mystery Genre Guide,Dom Ioanna
Mystery,Cozy Horror Mystery,https://www.skool.com/story-hacker/cozy-horror-mystery-genre-guides,Cozy Horror Mystery Genre Guides,Mitch White
Mystery,Cozy Pet Mystery,https://www.skool.com/story-hacker/cozy-pet-mystery-genre-guide,Cozy Pet Mystery Genre Guide,Dom Ioanna
Mystery,Culinary Mystery,https://www.skool.com/story-hacker/culinary-mystery-genre-guide,Culinary Mystery Genre Guide,Dom Ioanna
Mystery,Detective,https://www.skool.com/story-hacker/detective-genre-guides,Detective Genre Guides,Mitch White
Mystery,Gangster Mystery,https://www.skool.com/story-hacker/gangster-mystery-genre-guide,Gangster Mystery Genre Guide,Dom Ioanna
Mystery,Medieval Mystery,https://www.skool.com/story-hacker/medieval-mystery-genre-guides,Medieval Mystery Genre Guides,Mitch White
Mystery,Paranormal Mystery,https://www.skool.com/story-hacker/paranormal-mystery-genre-guides,Paranormal Mystery Genre Guides,Mitch White
Mystery,Private Eye,https://www.skool.com/story-hacker/private-eye-genre-guides,Private Eye Genre Guides,Mitch White
Mystery,Western Mystery,https://www.skool.com/story-hacker/western-mystery-genre-guide,Western Mystery Genre Guide,Dom Ioanna
Mystery,Zoo Mystery,https://www.skool.com/story-hacker/zoo-mystery-genre-guide,Zoo Mystery Genre Guide,Dom Ioanna
Other,Apocalyptic Fiction,https://www.skool.com/story-hacker/apocalyptic-fiction-genre-guides,Apocalyptic Fiction Genre Guides,Mitch White
Other,Bodice-Ripper,https://www.skool.com/story-hacker/bodice-ripper-genre-guides,Bodice-Ripper Genre Guides,Mitch White
Other,Dark Academia,https://www.skool.com/story-hacker/dark-academia-genre-guides,Dark Academia Genre Guides,Mitch White
Other,Farce Fiction,https://www.skool.com/story-hacker/farce-fiction-genre-guides,Farce Fiction Genre Guides,Mitch White
Other,Furry Sleuths,https://www.skool.com/story-hacker/furry-sleuths-genre-guides,Furry Sleuths Genre Guides,Mitch White
Other,Galactic Empire,https://www.skool.com/story-hacker/galactic-empire-genre-guides,Galactic Empire Genre Guides,Mitch White
Other,Gangster,https://www.skool.com/story-hacker/gangster-genre-guides,Gangster Genre Guides,Mitch White
Other,Generation Ship,https://www.skool.com/story-hacker/generation-ship-genre-guides,Generation Ship Genre Guides,Mitch White
Other,Hopepunk,https://www.skool.com/story-hacker/hopepunk-genre-guides,Hopepunk Genre Guides,Mitch White
Other,Kaiju,https://www.skool.com/story-hacker/kaiju-genre-guides,Kaiju Genre Guides,Mitch White
Other,Love Story,https://www.skool.com/story-hacker/love-story-genre-guides,Love Story Genre Guides,Mitch White
Other,Magical Realism,https://www.skool.com/story-hacker/magical-realism-genre-guides,Magical Realism Genre Guides,Mitch White
Other,My: How to Use,https://www.skool.com/story-hacker/my-genre-guides-how-to-use,My Genre Guides: How to Use,Mitch White
Other,Myth,https://www.skool.com/story-hacker/myth-genre-guides,Myth Genre Guides,Mitch White
Other,Noir Cozy,https://www.skool.com/story-hacker/noir-cozy-genre-guides,Noir Cozy Genre Guides,Mitch White
Other,Parallel Universes,https://www.skool.com/story-hacker/parallel-universes-genre-guides,Parallel Universes Genre Guides,Mitch White
Other,Paranormal,https://www.skool.com/story-hacker/paranormal-genre-guides,Paranormal Genre Guides,Mitch White
Other,Parody (Spoof),https://www.skool.com/story-hacker/parody-spoof-genre-guides,Parody (Spoof) Genre Guides,Mitch White
Other,Post-Apocalyptic,https://www.skool.com/story-hacker/post-apocalyptic-genre-guides,Post-Apocalyptic Genre Guides,Mitch White
Other,Satire Fiction,https://www.skool.com/story-hacker/satire-fiction-genre-guides,Satire Fiction Genre Guides,Mitch White
Other,Superhero,https://www.skool.com/story-hacker/superhero-genre-guides,Superhero Genre Guides,Mitch White
Other,Survival Fiction,https://www.skool.com/story-hacker/survival-fiction-genre-guides,Survival Fiction Genre Guides,Mitch White
Other,Swashbuckler,https://www.skool.com/story-hacker/swashbuckler-genre-guides,Swashbuckler Genre Guides,Mitch White
Other,Time Travel,https://www.skool.com/story-hacker/time-travel-genre-guides,Time Travel Genre Guides,Mitch White
Other,Uchronia (Speculative Fiction),https://www.skool.com/story-hacker/uchronia-speculative-fiction-genre-guide,Uchronia (Speculative Fiction) Genre Guide,Dom Ioanna
Other,Vampire Fiction,https://www.skool.com/story-hacker/vampire-fiction-genre-guides,Vampire Fiction Genre Guides,Mitch White
Other,Yakuza/Triad,https://www.skool.com/story-hacker/yakuzatriad-genre-guides,Yakuza/Triad Genre Guides,Mitch White
Romance,Academy Romance,https://www.skool.com/story-hacker/academy-romance-genre-guide,Academy Romance Genre Guide,Dom Ioanna
Romance,Action Romance,https://www.skool.com/story-hacker/action-romance-genre-guides,Action Romance Genre Guides,Mitch White
Romance,Alternate Reality Romance,https://www.skool.com/story-hacker/alternate-reality-romance-genre-guides,Alternate Reality Romance Genre Guides,Mitch White
Romance,Beach Romance,https://www.skool.com/story-hacker/beach-romance-genre-guides,Beach Romance Genre Guides,Mitch White
Romance,Billionaire Romance,https://www.skool.com/story-hacker/billionaire-romance-genre-guides,Billionaire Romance Genre Guides,Mitch White
Romance,BWWM Romance,https://www.skool.com/story-hacker/bwwm-romance-genre-guides,BWWM Romance Genre Guides,Mitch White
Romance,Contemporary Romance,https://www.skool.com/story-hacker/contemporary-romance-genre-guides,Contemporary Romance Genre Guides,Mitch White
Romance,Cosy Motorcycle Club Romance,https://www.skool.com/story-hacker/cosy-motorcycle-club-romance-genre-guide,Cosy Motorcycle Club Romance Genre Guide,Dom Ioanna
Romance,Dark Romance,https://www.skool.com/story-hacker/dark-romance-genre-guides,Dark Romance Genre Guides,Mitch White
Romance,Family Saga Romance,https://www.skool.com/story-hacker/family-saga-romance-genre-guides,Family Saga Romance Genre Guides,Mitch White
Romance,Friends to Lovers,https://www.skool.com/story-hacker/friends-to-lovers-genre-guide,Friends to Lovers Genre Guide,Dom Ioanna
Romance,Glitz (Glamor) Romance,https://www.skool.com/story-hacker/glitz-glamor-romance-genre-guides,Glitz (Glamor) Romance Genre Guides,Mitch White
Romance,Gothic Romance,https://www.skool.com/story-hacker/gothic-romance-genre-guides,Gothic Romance Genre Guides,Mitch White
Romance,Highlander Romance,https://www.skool.com/story-hacker/highlander-romance-genre-guide,Highlander Romance Genre Guide,Dom Ioanna
Romance,Historical Romance,https://www.skool.com/story-hacker/historical-romance-genre-guides,Historical Romance Genre Guides,Mitch White
Romance,Holiday Romance,https://www.skool.com/story-hacker/holiday-romance-genre-guides,Holiday Romance Genre Guides,Mitch White
Romance,Mafia Romance,https://www.skool.com/story-hacker/mafia-romance-genre-guides,Mafia Romance Genre Guides,Mitch White
Romance,MC Romance,https://www.skool.com/story-hacker/mc-romance-genre-guides,MC Romance Genre Guides,Mitch White
Romance,Midlife Crisis Romance,https://www.skool.com/story-hacker/midlife-crisis-romance-genre-guides,Midlife Crisis Romance Genre Guides,Mitch White
Romance,Military Romance,https://www.skool.com/story-hacker/military-romance-genre-guides,Military Romance Genre Guides,Mitch White
Romance,Multicultural Romance,https://www.skool.com/story-hacker/multicultural-romance-genre-guide,Multicultural Romance Genre Guide,Dom Ioanna
Romance,Paranormal Romance,https://www.skool.com/story-hacker/paranormal-romance-genre-guides,Paranormal Romance Genre Guides,Mitch White
